SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_5,SHAPE_7,SHAPE_8,SHAPE_10
0.551,0.445,2.133,1.334,1.526,1.027,0.400
0.583,0.453,1.938,1.264,1.323,1.110,0.374
0.497,0.466,2.218,1.342,1.485,1.002,0.395
0.469,0.475,2.364,1.349,1.463,1.002,0.373
0.580,0.467,2.046,1.281,1.409,1.020,0.387
0.506,0.474,2.224,1.201,1.476,1.007,0.383
0.554,0.467,2.113,1.261,1.561,1.021,0.359
0.550,0.480,2.179,1.285,1.369,1.018,0.397
0.475,0.460,2.306,1.332,1.472,1.036,0.379
0.493,0.452,2.240,1.215,1.577,1.065,0.370
0.594,0.459,2.050,1.347,1.530,0.958,0.379
0.519,0.449,2.040,1.325,1.576,0.983,0.370
0.572,0.484,2.090,1.407,1.413,0.982,0.352
0.517,0.470,2.096,1.292,1.556,1.027,0.375
0.485,0.464,2.249,1.402,1.566,1.024,0.371
0.491,0.476,2.230,1.238,1.548,0.977,0.363
0.523,0.461,2.247,1.253,1.477,1.071,0.383
0.519,0.457,2.134,1.408,1.422,1.048,0.388
0.501,0.472,2.322,1.300,1.465,1.049,0.405
0.505,0.495,2.318,1.269,1.625,1.019,0.358
0.463,0.432,2.279,1.287,1.708,1.027,0.381
0.650,0.458,2.014,1.309,1.370,1.076,0.398
0.529,0.457,2.150,1.339,1.492,0.988,0.363
0.549,0.467,2.080,1.303,1.520,1.020,0.375
0.462,0.458,2.439,1.325,1.628,1.037,0.379
